Designator,Mid X,Mid Y,Rotation,Layer
C1,90.4,-95.38,270.0,top
C10,95.3,-76.875,0.0,top
C11,86.1,-67.675,90.0,top
C12,86.1,-70.775,270.0,top
C13,58.18,-98.7,90.0,top
C2,85.0,-95.5,270.0,top
C3,83.7,-82.8,90.0,top
C4,89.2,-83.8,90.0,top
C5,99.2,-73.775,0.0,top
C6,87.7,-66.575,90.0,top
C7,99.2,-74.975,0.0,top
C8,95.0,-80.975,0.0,top
C9,95.3,-78.475,0.0,top
D1,83.5,-90.7,0.0,top
FB1,40.7,-83.4,180.0,top
FB2,93.1,-79.775,90.0,top
FID1,98.0,-85.9,0.0,top
FID2,37.6,-65.5,0.0,top
FID3,44.5,-93.5,0.0,top
J1,70.81,-99.055,90.0,bottom
J2,36.755,-77.0,270.0,top
J3,60.01,-52.9,270.0,top
J5,89.105,-52.9,270.0,top
R1,44.7,-74.2,90.0,top
R2,46.2,-79.4,0.0,top
R3,83.5,-93.1,180.0,top
R4,91.7,-92.3,0.0,top
R5,48.7,-97.0,90.0,top
SW1,55.9,-101.9,0.0,top
SW2,77.3,-52.9,180.0,top
SW3,48.2,-101.525,0.0,top
U1,87.7,-93.8,180.0,top
U2,86.4,-85.3,180.0,top
U3,89.7,-60.6,270.0,top
U4,92.75,-70.975,270.0,top
Y1,83.5,-69.175,270.0,top
